"",0.0
"American (New), Brewpubs, Jazz & Blues",3.3474025974026
"American (New), British, Cocktail Bars",3.88252714708786
"American (New), British, Seafood",3.30927835051546
"American (New), Buffets",3.33928571428572
"American (New), Burgers",3.96572472066372
"American (New), Burgers, American (Traditional)",4.06953223767383
"American (New), Burgers, Asian Fusion",4.22222222222222
"American (New), Burgers, Barbeque",3.90212613485471
"American (New), Burgers, Bars",4.09094283193177
"American (New), Burgers, Beer Bar",3.89772130574645
"American (New), Burgers, Breakfast & Brunch",4.01772262842033
"American (New), Burgers, Buffets",2.75
"American (New), Burgers, Cafes",4.41666666666667
"American (New), Burgers, Caterers",3.84704370179949
"American (New), Burgers, Chicken Wings",4.05417854503221
"American (New), Burgers, Cocktail Bars",3.95733959817589
"American (New), Burgers, Comfort Food",3.90338514696059
"American (New), Burgers, Desserts",3.9672131147541
"American (New), Burgers, Fast Food",3.95652173913043
"American (New), Burgers, Gastropubs",3.91259647659736
"American (New), Burgers, German",3.88888888888889
"American (New), Burgers, Hot Dogs",3.72522174958356
"American (New), Burgers, Ice Cream & Frozen Yogurt",3.84375
"American (New), Burgers, Irish Pub",3.739336492891
"American (New), Burgers, Karaoke",3.33333333333333
"American (New), Burgers, Latin American",4.01262344133246
"American (New), Burgers, Music Venues",3.45853502463354
"American (New), Burgers, Pizza",4.13126293995859
"American (New), Burgers, Pubs",4.13962264150943
"American (New), Burgers, Salad",4.20452762084118
"American (New), Burgers, Sandwiches",3.90700452784224
"American (New), Burgers, Sports Bars",4.14861995753716
"American (New), Burgers, Vegan",3.95307917888563
"American (New), Burgers, Venues & Event Spaces",3.75743348982786
"American (New), Burgers, Wine Bars",4.19126819126819
"American (New), Burgers, Wraps",3.35526315789474
"American (New), Butcher",4.49275362318841
"American (New), Cafes",4.25749456879545
"American (New), Cafes, Bars",4.07327227310575
"American (New), Cafes, Breakfast & Brunch",4.23982437618095
"American (New), Cafes, Cocktail Bars",4.1551724137931
"American (New), Cafes, Ice Cream & Frozen Yogurt",4.54838709677419
"American (New), Cafes, Pizza",4.32374024878769
"American (New), Cafes, Sandwiches",4.20588235294118
"American (New), Cafes, Sports Bars",5.0
"American (New), Cajun/Creole",4.02027492986123
"American (New), Cajun/Creole, French",3.45703125
"American (New), Cantonese, Dim Sum",4.00114876507754
"American (New), Caribbean",3.99335664335664
"American (New), Caribbean, Asian Fusion",3.94444444444444
"American (New), Caribbean, Soup",3.16
"American (New), Caterers",3.50833333333333
"American (New), Caterers, Barbeque",4.5
"American (New), Cheese Shops",4.43884892086331
"American (New), Cheesesteaks",3.5
"American (New), Cheesesteaks, Chicken Wings",3.66666666666667
"American (New), Chicken Shop",4.19370091820708
"American (New), Chicken Shop, Bars",4.04297994269341
"American (New), Chicken Shop, Japanese",4.72222222222222
"American (New), Chicken Wings",3.41475127087872
"American (New), Chicken Wings, Barbeque",4.34751773049645
"American (New), Chicken Wings, Cocktail Bars",4.32692307692308
"American (New), Chicken Wings, Fast Food",3.50943396226415
"American (New), Chicken Wings, Salad",4.81284916201117
"American (New), Chicken Wings, Sandwiches",3.20158724473063
"American (New), Chicken Wings, Sports Bars",2.98947368421053
"American (New), Chicken Wings, Wraps",4.5
"American (New), Chinese",3.61019002195473
"American (New), Cocktail Bars",4.09598097545543
"American (New), Cocktail Bars, American (Traditional)",3.80472103004292
"American (New), Cocktail Bars, Barbeque",3.33333333333333
"American (New), Cocktail Bars, Beer Bar",4.25860518319181
"American (New), Cocktail Bars, Bowling",4.27710843373494
"American (New), Cocktail Bars, Breakfast & Brunch",3.96992617218904
"American (New), Cocktail Bars, British",3.84649122807018
"American (New), Cocktail Bars, Burgers",3.15492957746479
"American (New), Cocktail Bars, Chicken Wings",4.16666666666667
"American (New), Cocktail Bars, Comfort Food",3.54489160059062
"American (New), Cocktail Bars, Desserts",4.36738516432313
"American (New), Cocktail Bars, Eatertainment",4.0
"American (New), Cocktail Bars, Gastropubs",4.38288288288288
"American (New), Cocktail Bars, Hawaiian",4.20348837209302
"American (New), Cocktail Bars, Mediterranean",3.91360294117647
"American (New), Cocktail Bars, Music Venues",3.80238095238095
"American (New), Cocktail Bars, Party & Event Planning",4.09665427509294
"American (New), Cocktail Bars, Pizza",4.26384083044982
"American (New), Cocktail Bars, Sandwiches",4.124529316837
"American (New), Cocktail Bars, Seafood",3.98040333419219
"American (New), Cocktail Bars, Sports Bars",4.36986301369863
"American (New), Cocktail Bars, Steakhouses",3.58162719122173
"American (New), Cocktail Bars, Tapas Bars",3.80038572806172
"American (New), Cocktail Bars, Tapas/Small Plates",4.06060070264387
"American (New), Cocktail Bars, Venues & Event Spaces",3.92829707214523
"American (New), Cocktail Bars, Wine Bars",3.98753897362221
"American (New), Coffee & Tea",3.56921941862181
"American (New), Coffee & Tea, Bars",3.88398486759142
"American (New), Coffee & Tea, Beer Bar",3.93975903614458
"American (New), Coffee & Tea, Breakfast & Brunch",4.0628759180894
"American (New), Coffee & Tea, Jazz & Blues",3.77324263038549
"American (New), Coffee & Tea, Juice Bars & Smoothies",3.95652173913043
"American (New), Coffee & Tea, Wine Bars",3.77615571776156
"American (New), Colombian, Venezuelan",4.81395348837209
"American (New), Comfort Food",4.25530708762919
"American (New), Comfort Food, Bars",3.86125267137926
"American (New), Comfort Food, Beer Bar",3.8686327077748
"American (New), Comfort Food, Breakfast & Brunch",4.25835189309577
"American (New), Comfort Food, Burgers",4.11569160097433
"American (New), Comfort Food, Cafes",4.07692307692308
"American (New), Comfort Food, Chicken Shop",4.4525939177102
"American (New), Comfort Food, Cocktail Bars",4.04331446250655
"American (New), Comfort Food, Seafood",3.82142857142857
"American (New), Community Service/Non-Profit",4.78879310344827
"American (New), Convenience Stores",4.0
"American (New), Cooking Classes",3.78947368421053
"American (New), Cuban",4.47992325820291
"American (New), Dance Clubs, Sports Bars",2.94809010773751
"American (New), Delis",4.0
"American (New), Delis, Greek",3.0
"American (New), Desserts",3.30964265956986
"American (New), Desserts, Bars",3.82963709677419
"American (New), Desserts, Beer, Wine & Spirits",4.17857142857143
"American (New), Desserts, Brasseries",4.5
"American (New), Desserts, Breakfast & Brunch",3.91376298456508
"American (New), Desserts, Burgers",4.17704673693176
"American (New), Desserts, Cocktail Bars",4.19737138242742
"American (New), Desserts, Comfort Food",4.02734375
"American (New), Desserts, Pizza",5.0
"American (New), Desserts, Salad",4.33366910866911
"American (New), Desserts, Seafood",3.61421319796954
"American (New), Desserts, Wine Bars",4.28828229027963
"American (New), Diners",4.0183908045977
"American (New), Diners, Breakfast & Brunch",4.00545966588727
"American (New), Diners, Buffets",4.14893617021277
"American (New), Diners, Cocktail Bars",3.96166961689412
"American (New), Diners, Coffee & Tea",4.28655660377358
"American (New), Diners, Sandwiches",4.26190476190476
"American (New), Dinner Theater",3.51923076923077
"American (New), Dive Bars",3.82174859190988
"American (New), Eatertainment",4.28571428571429
"American (New), Eatertainment, Bowling",3.60283687943262
"American (New), Empanadas, Fast Food",4.40903540903541
